,MSRP,make,model,year,engine_HP,engine_cylinders,transmission_type,number_of_doors,market_category_luxury,vehicle_style,highway_MPG,city_MPG,popularity
120,17050,Mazda,2,2014,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
121,15560,Mazda,2,2014,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
122,16210,Mazda,2,2014,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
123,14720,Mazda,2,2014,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
124,47250,BMW,3 Series Gran Turismo,2015,300.0,6.0,automatic,4.0,1,4dr Hatchback,30,20,3916
125,41850,BMW,3 Series Gran Turismo,2015,240.0,4.0,automatic,4.0,1,4dr Hatchback,33,22,3916
126,41850,BMW,3 Series Gran Turismo,2015,240.0,4.0,automatic,4.0,1,4dr Hatchback,33,22,3916
127,43000,BMW,3 Series Gran Turismo,2016,240.0,4.0,automatic,4.0,1,4dr Hatchback,34,22,3916
128,49200,BMW,3 Series Gran Turismo,2016,300.0,6.0,automatic,4.0,1,4dr Hatchback,30,20,3916
129,49650,BMW,3 Series Gran Turismo,2017,320.0,6.0,automatic,4.0,1,4dr Hatchback,30,20,3916
130,43950,BMW,3 Series Gran Turismo,2017,248.0,4.0,automatic,4.0,1,4dr Hatchback,33,23,3916
131,41950,BMW,3 Series,2015,241.0,4.0,automatic,4.0,1,Wagon,33,22,3916
132,50150,BMW,3 Series,2015,335.0,6.0,automatic,4.0,1,Sedan,33,25,3916
133,37500,BMW,3 Series,2015,240.0,4.0,automatic,4.0,1,Sedan,35,23,3916
134,43750,BMW,3 Series,2015,300.0,6.0,automatic,4.0,1,Sedan,32,21,3916
135,39000,BMW,3 Series,2015,180.0,4.0,automatic,4.0,1,Sedan,45,32,3916
136,39500,BMW,3 Series,2015,240.0,4.0,automatic,4.0,1,Sedan,33,22,3916
137,39500,BMW,3 Series,2015,240.0,4.0,automatic,4.0,1,Sedan,33,22,3916
138,34950,BMW,3 Series,2015,180.0,4.0,automatic,4.0,1,Sedan,35,23,3916
139,45750,BMW,3 Series,2015,300.0,6.0,automatic,4.0,1,Sedan,30,20,3916
140,43450,BMW,3 Series,2015,180.0,4.0,automatic,4.0,1,Wagon,43,31,3916
141,37500,BMW,3 Series,2015,240.0,4.0,automatic,4.0,1,Sedan,35,23,3916
142,41000,BMW,3 Series,2015,180.0,4.0,automatic,4.0,1,Sedan,43,31,3916
143,32950,BMW,3 Series,2015,180.0,4.0,automatic,4.0,1,Sedan,36,24,3916
144,41850,BMW,3 Series,2016,180.0,4.0,automatic,4.0,1,Sedan,40,30,3916
145,47800,BMW,3 Series,2016,320.0,6.0,automatic,4.0,1,Sedan,33,22,3916
146,39850,BMW,3 Series,2016,180.0,4.0,automatic,4.0,1,Sedan,42,32,3916
147,38350,BMW,3 Series,2016,240.0,4.0,automatic,4.0,1,Sedan,34,22,3916
148,40350,BMW,3 Series,2016,240.0,4.0,automatic,4.0,1,Sedan,34,22,3916
149,38350,BMW,3 Series,2016,240.0,4.0,manual,4.0,1,Sedan,34,22,3916
150,42650,BMW,3 Series,2016,240.0,4.0,automatic,4.0,1,Wagon,34,22,3916
151,33150,BMW,3 Series,2016,180.0,4.0,automatic,4.0,1,Sedan,36,24,3916
152,35150,BMW,3 Series,2016,180.0,4.0,automatic,4.0,1,Sedan,35,23,3916
153,44150,BMW,3 Series,2016,180.0,4.0,automatic,4.0,1,Wagon,40,30,3916
154,45800,BMW,3 Series,2016,320.0,6.0,automatic,4.0,1,Sedan,33,22,3916
155,38750,BMW,3 Series,2017,248.0,4.0,automatic,4.0,1,Sedan,34,23,3916
156,35450,BMW,3 Series,2017,180.0,4.0,automatic,4.0,1,Sedan,34,23,3916
157,33450,BMW,3 Series,2017,180.0,4.0,automatic,4.0,1,Sedan,35,23,3916
158,40750,BMW,3 Series,2017,248.0,4.0,automatic,4.0,1,Sedan,33,23,3916
159,42250,BMW,3 Series,2017,180.0,4.0,automatic,4.0,1,Sedan,40,30,3916
160,42950,BMW,3 Series,2017,248.0,4.0,automatic,4.0,1,Wagon,33,23,3916
161,40250,BMW,3 Series,2017,180.0,4.0,automatic,4.0,1,Sedan,42,32,3916
162,49900,BMW,3 Series,2017,320.0,6.0,automatic,4.0,1,Sedan,31,21,3916
163,47900,BMW,3 Series,2017,320.0,6.0,automatic,4.0,1,Sedan,32,21,3916
164,44450,BMW,3 Series,2017,180.0,4.0,automatic,4.0,1,Wagon,40,30,3916
165,2232,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Sedan,19,15,617
166,2000,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Wagon,20,15,617
167,2000,Mercedes-Benz,300-Class,1991,158.0,6.0,automatic,4.0,1,Sedan,22,17,617
168,2105,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Sedan,20,15,617
169,2199,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Wagon,18,15,617
170,2000,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Sedan,22,16,617
171,2124,Mercedes-Benz,300-Class,1991,177.0,6.0,automatic,4.0,1,Sedan,19,15,617
172,3552,Mercedes-Benz,300-Class,1991,228.0,6.0,manual,2.0,1,Convertible,21,14,617
173,2179,Mercedes-Benz,300-Class,1991,217.0,6.0,automatic,2.0,1,Coupe,22,15,617
174,2000,Mercedes-Benz,300-Class,1991,121.0,5.0,automatic,4.0,1,Sedan,30,23,617
175,2000,Mercedes-Benz,300-Class,1992,121.0,5.0,automatic,4.0,1,Sedan,29,23,617
176,2377,Mercedes-Benz,300-Class,1992,228.0,6.0,automatic,4.0,1,Sedan,17,14,617
177,3814,Mercedes-Benz,300-Class,1992,228.0,6.0,manual,2.0,1,Convertible,21,15,617
178,2207,Mercedes-Benz,300-Class,1992,177.0,6.0,automatic,4.0,1,Sedan,19,15,617
179,2000,Mercedes-Benz,300-Class,1992,177.0,6.0,automatic,4.0,1,Wagon,20,15,617
180,2248,Mercedes-Benz,300-Class,1992,217.0,6.0,automatic,2.0,1,Coupe,21,15,617
181,2065,Mercedes-Benz,300-Class,1992,177.0,6.0,automatic,4.0,1,Sedan,22,16,617
182,2547,Mercedes-Benz,300-Class,1992,148.0,6.0,automatic,4.0,1,Sedan,22,18,617
183,2282,Mercedes-Benz,300-Class,1992,177.0,6.0,automatic,4.0,1,Wagon,18,15,617
184,2000,Mercedes-Benz,300-Class,1992,158.0,6.0,automatic,4.0,1,Sedan,23,18,617
185,2544,Mercedes-Benz,300-Class,1993,177.0,6.0,automatic,4.0,1,Wagon,19,15,617
186,2397,Mercedes-Benz,300-Class,1993,217.0,6.0,automatic,2.0,1,Coupe,22,17,617
187,2000,Mercedes-Benz,300-Class,1993,121.0,5.0,automatic,4.0,1,Sedan,30,23,617
188,4174,Mercedes-Benz,300-Class,1993,228.0,6.0,manual,2.0,1,Convertible,21,14,617
189,2187,Mercedes-Benz,300-Class,1993,217.0,6.0,automatic,4.0,1,Sedan,22,17,617
190,2729,Mercedes-Benz,300-Class,1993,148.0,6.0,automatic,4.0,1,Sedan,22,18,617
191,2433,Mercedes-Benz,300-Class,1993,177.0,6.0,automatic,4.0,1,Sedan,19,15,617
192,2247,Mercedes-Benz,300-Class,1993,194.0,6.0,automatic,4.0,1,Sedan,23,17,617
193,2540,Mercedes-Benz,300-Class,1993,228.0,6.0,automatic,4.0,1,Sedan,18,14,617
194,3941,Mitsubishi,3000GT,1997,218.0,6.0,manual,2.0,0,2dr Hatchback,23,17,436
195,3295,Mitsubishi,3000GT,1997,161.0,6.0,manual,2.0,0,2dr Hatchback,22,17,436
196,6008,Mitsubishi,3000GT,1997,320.0,6.0,manual,2.0,0,2dr Hatchback,22,16,436
197,6710,Mitsubishi,3000GT,1998,320.0,6.0,manual,2.0,0,2dr Hatchback,22,16,436
198,3701,Mitsubishi,3000GT,1998,161.0,6.0,manual,2.0,0,2dr Hatchback,22,17,436
199,4671,Mitsubishi,3000GT,1998,218.0,6.0,manual,2.0,0,2dr Hatchback,23,17,436
200,5306,Mitsubishi,3000GT,1999,218.0,6.0,manual,2.0,0,2dr Hatchback,23,17,436
201,7600,Mitsubishi,3000GT,1999,320.0,6.0,manual,2.0,0,2dr Hatchback,22,16,436
202,4090,Mitsubishi,3000GT,1999,161.0,6.0,manual,2.0,0,2dr Hatchback,22,17,436
203,37570,Chrysler,300,2015,300.0,6.0,automatic,4.0,0,Sedan,27,18,1013
204,31695,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
205,38070,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
206,44895,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
207,35070,Chrysler,300,2015,300.0,6.0,automatic,4.0,0,Sedan,31,19,1013
208,42395,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
209,34195,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
210,40570,Chrysler,300,2015,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
211,38095,Chrysler,300,2016,300.0,6.0,automatic,4.0,0,Sedan,27,18,1013
212,35595,Chrysler,300,2016,300.0,6.0,automatic,4.0,0,Sedan,31,19,1013
213,45190,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
214,32260,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
215,37755,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
216,41055,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
217,36090,Chrysler,300,2016,300.0,6.0,automatic,4.0,0,Sedan,31,19,1013
218,42690,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
219,38555,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
220,35255,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,31,19,1013
221,38590,Chrysler,300,2016,300.0,6.0,automatic,4.0,0,Sedan,27,18,1013
222,34760,Chrysler,300,2016,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
223,41135,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
224,45270,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
225,38670,Chrysler,300,2017,300.0,6.0,automatic,4.0,0,Sedan,27,18,1013
226,38635,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,30,19,1013
227,36170,Chrysler,300,2017,300.0,6.0,automatic,4.0,0,Sedan,30,19,1013
228,38175,Chrysler,300,2017,300.0,6.0,automatic,4.0,0,Sedan,27,18,1013
229,32340,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,30,19,1013
230,42770,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,30,19,1013
231,34840,Chrysler,300,2017,292.0,6.0,automatic,4.0,0,Sedan,27,18,1013
232,35675,Chrysler,300,2017,300.0,6.0,automatic,4.0,0,Sedan,30,19,1013
233,32065,Chrysler,300M,2002,250.0,6.0,automatic,4.0,0,Sedan,24,16,1013
234,28540,Chrysler,300M,2002,250.0,6.0,automatic,4.0,0,Sedan,24,16,1013
235,32315,Chrysler,300M,2003,255.0,6.0,automatic,4.0,0,Sedan,25,16,1013
236,28885,Chrysler,300M,2003,250.0,6.0,automatic,4.0,0,Sedan,25,16,1013
237,29185,Chrysler,300M,2004,250.0,6.0,automatic,4.0,0,Sedan,25,16,1013
238,32615,Chrysler,300M,2004,255.0,6.0,automatic,4.0,0,Sedan,25,16,1013
239,2847,Nissan,300ZX,1994,222.0,6.0,manual,2.0,0,Convertible,22,16,2009
240,2488,Nissan,300ZX,1994,222.0,6.0,manual,2.0,0,Coupe,22,16,2009
241,2683,Nissan,300ZX,1994,300.0,6.0,manual,2.0,0,2dr Hatchback,22,16,2009
242,2553,Nissan,300ZX,1994,222.0,6.0,manual,2.0,0,Coupe,22,16,2009
243,3049,Nissan,300ZX,1995,300.0,6.0,manual,2.0,0,Coupe,22,16,2009
244,2774,Nissan,300ZX,1995,222.0,6.0,manual,2.0,0,Coupe,22,17,2009
245,2702,Nissan,300ZX,1995,222.0,6.0,manual,2.0,0,Coupe,22,17,2009
246,3101,Nissan,300ZX,1995,222.0,6.0,manual,2.0,0,Convertible,22,17,2009
247,3510,Nissan,300ZX,1996,300.0,6.0,manual,2.0,0,Coupe,22,16,2009
248,3107,Nissan,300ZX,1996,222.0,6.0,manual,2.0,0,Coupe,22,17,2009
249,3624,Nissan,300ZX,1996,222.0,6.0,manual,2.0,0,Convertible,22,17,2009
250,3185,Nissan,300ZX,1996,222.0,6.0,manual,2.0,0,Coupe,22,17,2009
251,2000,Mazda,323,1992,82.0,4.0,manual,2.0,0,2dr Hatchback,33,25,586
252,2000,Mazda,323,1992,82.0,4.0,manual,2.0,0,2dr Hatchback,33,25,586
253,2000,Mazda,323,1993,82.0,4.0,manual,2.0,0,2dr Hatchback,33,25,586
254,2000,Mazda,323,1993,82.0,4.0,manual,2.0,0,2dr Hatchback,32,24,586
255,2000,Mazda,323,1994,82.0,4.0,manual,2.0,0,2dr Hatchback,33,25,586
256,2144,Mercedes-Benz,350-Class,1990,134.0,6.0,automatic,4.0,1,Sedan,23,19,617
257,2098,Mercedes-Benz,350-Class,1990,134.0,6.0,automatic,4.0,1,Sedan,23,19,617
258,2178,Mercedes-Benz,350-Class,1991,134.0,6.0,automatic,4.0,1,Sedan,23,19,617
259,2311,Mercedes-Benz,350-Class,1991,134.0,6.0,automatic,4.0,1,Sedan,23,19,617
260,36550,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
261,41250,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
262,30600,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
263,37100,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
264,27900,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
265,32700,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
266,40250,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
267,35550,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
268,36100,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
269,33200,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
270,37900,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
271,29600,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
272,38070,Nissan,350Z,2007,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
273,38900,Nissan,350Z,2007,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
274,33840,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
275,38630,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
276,39630,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
277,37740,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
278,41980,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
279,36280,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
280,36740,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
281,40980,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
282,38680,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
283,28510,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
284,30210,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
285,31210,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Coupe,24,17,2009
286,33340,Nissan,350Z,2008,306.0,6.0,manual,2.0,0,Coupe,25,18,2009
287,37280,Nissan,350Z,2008,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
288,41570,Nissan,350Z,2009,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
289,36870,Nissan,350Z,2009,306.0,6.0,manual,2.0,0,Convertible,24,17,2009
290,42570,Nissan,350Z,2009,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
291,37870,Nissan,350Z,2009,306.0,6.0,automatic,2.0,0,Convertible,23,17,2009
